Código;Categoria 1;Categoria 2
B1505BC;53;
B1505BF;53;
B1514-D;53;
B1522BC;53;39
B1522BF;53;39
B1523RGB;53;39
B1537-36;53;
B1537-70;53;
B1538AR;53;
B1538AZ;53;
B1538BC;53;
B1538BF;53;
B1538RO;53;
B1538UV;53;
B1538VE;53;
B1541-5630BC;53;
B1541-5630BCC;53;
B1541-5630BCCC;53;
B1541-5630BF;53;
B1541-5630BFF;53;
B1541-5630BN;53;
B1543-5630BC;53;
B1543-5630BF;53;
B1544-30;53;
B1544-60;53;
B1545-IP20;53;
B1546-IP20;53;
B1546-IP64;53;
B1546-IP67;53;
B1547-IP20;53;
B1548-RGBW;53;
B1548RGBWW;53;
B1549-IP20;53;
B1549-IP67;53;
B1552BC;53;
B1552BF;53;
B1552BN;53;
B1552-CAR;53;
B1552SA;53;
B1553BC;53;
B1553BF;53;
B1553-CAR;53;
B1555BC;53;
B1555BF;53;
B1555BN;53;
B1560;73;
B1561;73;
B1563-120;75;
B1563-150;75;
B1563-200;75;
B1563-25;75;
B1563-350;75;
B1563-60;75;
B1563-75;75;
B1566-100;75;
B1566-120;75;
B1566-150;75;
B1566-200;75;
B1566-350;75;
B1566-60;75;
B1566-75;75;
B1580-100;75;
B1580-12;75;
B1580-15;75;
B1580-200;75;
B1580-30;75;
B1580-300;75;
B1580-60;75;
B1581-120;75;
B1581-200;75;
B1581-60;75;
B1584-100;75;
B1584-12;75;
B1584-200;75;
B1584-30;75;
B1584-300;75;
B1585-120;75;
B1585-200;75;
B1585-60;75;
B1601;53;
B1601-WIFI;53;
B1602;53;
B1603;70;
B1605N;70;
B1607;70;
B1608-1;70;
B1609;70;
B1610-1;70;
B1610-3;70;
B1610-4;70;
B1611;70;
B1612;70;
B1613;70;
B1614;70;
B1616;70;
B1621;70;
B1625;70;
B1625-2;70;
B1625-3;70;
B1625-4;70;
B1626;70;
B1628;70;
B1630;77;88
B1631;77;88
B1632;77;88
B1633;77;88
B1635;77;88
B1636;77;88
B1637;77;88
B1638;77;88
B1639;77;88
B1640;77;88
B1641;77;88
B1645;77;88
B1646;77;88
B1648;77;88
B1649;77;88
B1650;77;88
B1655;77;88
B1657;77;88
B1658;77;88
B1659;77;88
B1665;77;88
B1666;77;88
B1668;77;88
B1669;77;88
B1673;77;88
B1674;77;88
B1675H;57;
B1675M;57;
B1676H;57;
B1676H-RGBW;57;
B1676M;57;
B1676M-RGBW;57;
B1677H;57;
B1677M;57;
B1679-MONO;57;
B1679-RGB;57;
B1680;57;
B1680DIR;57;
B1682;57;
B1683;57;
B1683-IP;57;
B1684;57;
B1684-IP;57;
B1685;57;
B1688;57;
B1688DIR;57;
B1688DIR-RGBW;57;
B1688-RGBW;57;
B1689;57;
B1689DIR;57;
B1690;57;
B1691A;57;
B1691A-2;57;
B1691B;57;
B1691B-2;57;
B1691C;57;
B1691C-2;57;
B1691RGB;57;
B1692;57;
B1692-CCT;57;
B1692-RGBW;57;
B1694;57;
B1695-2-H;57;
B1695H;57;
B1695M;57;
B1696;57;
B1697;57;
B1698;57;
B1699-2;57;
B1700;57;
B1710-B;26;45
B1710-N;26;45
B1770-120;60;
B1770-150;60;
B1780-1-2;60;
B1780-5-120OPBF;29;
B1780-5-120OPBN;29;
B1780-5-30OPBF;29;
B1780-5-30OPBN;29;
B1780-5-60OPBF;29;
B1780-5-60OPBN;29;
B1790-120BF;29;
B1790-60BF;29;
B1840-G;43;
B1840-N;43;
B1841;43;
B1846BF;43;
B1848BF;43;
B1857-N-BF;43;
B1858-N-BF;43;
B1860-B-BF;43;
B1862-B-BF;43;
B1940BC;44;43
B1940RGB;44;43
B1941BC;44;43
B1941RGB;44;43
B1950BC;44;43
B1950RGB;44;43
B2011BC;32;
B2011RGB;32;
B2021-BC;32;
B2022-SBC;32;
B2023-BC;32;
B2040;32;
B2041-S;32;
B2042;32;
B2060BC;32;
B2070BC;32;
B2071BC;318;
B2081BC-S;32;
B2081RGB-S;32;
B3036-18;60;
B3036-18-2;60;
B3036-22;60;
B3036-22-2;60;
B3036-9;60;
B3036-9-2;60;
B3200AZ;55;39
B3200BC;55;39
B3200BF;55;39
B3200RO;55;39
B3250;55;39
B3251;55;39
B3252;55;39
B3253;55;39
B3254;55;39
B3310AZ;55;39
B3310BC;55;39
B3310BF;55;39
B3310RO;55;39
B3312RGB;55;39
B3323;55;39
B3324;55;39
B3324-1;55;39
B3327;55;39
B3327-RGB;55;39
B3327-RGB-PIN;55;39
B3330;55;39
B4009-3-60-OPBC;58;
B4009-3-60-OPBF;58;
B4009-3-60-OPBN;58;
B4009-3-90-OPBC;58;
B4009-3-90-OPBF;58;
B4009-3-90-OPBN;58;
B4009-4-60BF;58;
B4009-4-60BN;58;
B4009-60-CAR;58;
B4009-60-CHA;58;
B4009-60-PES;58;
B4009-R-60BF;58;
B4010-120-CAR;58;
B4010-120-CHA;58;
B4010-120-PES;58;
B4010-3-120-OPBC;58;
B4010-4-120BF;58;
B4010-4-120BN;58;
B4010-R-120BF;58;
B4011-150-CAR;58;
B4011-150-CHA;58;
B4011-3-150-OPBC;58;
B4011-3-150-OPBN;58;
B4011-4-150BF;58;
B4011-4-150BN;58;
B4011-R-150BF;58;
B4026-60BF;58;
B4029-120BF;58;
B4029-120BN;58;
B4030-150BF;58;
B4030-150BN;58;
B4218BF;61;
B4218BN;61;
B4220;62;
B4220-1;62;
B4220-2;62;
B4222;62;
B4225-2;62;
B4230-0-10;62;
B4230-LIFUD;62;
B4230-T;62;
B4234-2-BN;61;
B4235-2-BC;61;
B4235-2-BF;61;
B4235-2-BN;61;
B4235-UGR19-BN;61;
B4236-2-BC;61;
B4236-2-BN;61;
B4238-2-BC;61;
B4238-2-BF;61;
B4238-2-BN;61;
B4239-2-BF;61;
B4239-2-BN;61;
B470AZ;82;
B470BC;82;
B470BF;82;
B470RO;82;
B470VE;82;
B476BC;82;
B476BF;82;
B477BC;82;
B477BF;82;
B483BC;83;
B483BF;83;
B483BN;83;
B490BC;80;
B490BF;80;
B490BN;80;
B50001BC;28;46
B50002BF;28;46
